pmid	annotator	subject_uri	subject_label	predicate	object_uri	object_label
27176462	student_A	http://purl.obolibrary.org/obo/NCBITaxon_35832	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://purl.obolibrary.org/obo/NCBITaxon_186803	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://purl.obolibrary.org/obo/NCIT_C85961	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://purl.obolibrary.org/obo/NCBITaxon_990719	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://purl.obolibrary.org/obo/NCBITaxon_872	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C3243	DDF
27176462	student_A	http://purl.obolibrary.org/obo/OHMI_0000020	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C3243	DDF
27176462	student_A	http://purl.obolibrary.org/obo/NCIT_C3243	DDF	target	http://id.nlm.nih.gov/mesh/D002648	human
27176462	student_A	http://purl.obolibrary.org/obo/NCBITaxon_194924	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
27176462	student_A	http://w3id.org/hereditary/ontology/gutbrain/resource/H000200	microbiome	is linked to	http://id.nlm.nih.gov/mesh/D009461	DDF


33796919	student_A	http://purl.obolibrary.org/obo/CHEBI_64645	chemical	impact	http://purl.obolibrary.org/obo/OMIT_0028544	microbiome
33796919	student_A	http://purl.obolibrary.org/obo/NCBITaxon_1678	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C2866	DDF
33796919	student_A	http://purl.obolibrary.org/obo/NCIT_C93144	dietary supplement	influence	http://purl.obolibrary.org/obo/NCIT_C2866	DDF
33796919	student_A	http://purl.obolibrary.org/obo/NCIT_C2866	DDF	change abundance	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome
33796919	student_A	http://purl.obolibrary.org/obo/NCBITaxon_1678	bacteria	part of	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome
33796919	student_A	http://purl.obolibrary.org/obo/OMIT_0026689	dietary supplement	influence	http://purl.obolibrary.org/obo/NCIT_C2866	DDF
33796919	student_A	http://purl.obolibrary.org/obo/NCIT_C93144	dietary supplement	administered	http://purl.obolibrary.org/obo/NCIT_C45247	animal
33796919	student_A	http://purl.obolibrary.org/obo/CHEBI_64645	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12439	anatomical location
33796919	student_A	http://purl.obolibrary.org/obo/NCIT_C93144	dietary supplement	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF


39478626	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C2866	DDF
39478626	student_A	http://purl.obolibrary.org/obo/NCIT_C2866	DDF	is a	http://purl.obolibrary.org/obo/NCIT_C39737	DDF


29065369	student_A	http://purl.obolibrary.org/obo/NCIT_C85961	bacteria	located in	http://id.nlm.nih.gov/mesh/D010361	human
29065369	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	located in	http://purl.obolibrary.org/obo/NCIT_C28143	human
29065369	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	located in	http://id.nlm.nih.gov/mesh/D010361	human
29065369	student_A	http://purl.obolibrary.org/obo/NCIT_C85961	bacteria	located in	http://purl.obolibrary.org/obo/NCIT_C28143	human
29065369	student_A	http://purl.obolibrary.org/obo/NCIT_C34373	DDF	is a	http://id.nlm.nih.gov/mesh/D019636	DDF
29065369	student_A	http://purl.obolibrary.org/obo/OHMI_0000002	microbiome	located in	http://id.nlm.nih.gov/mesh/D010361	human


39224586	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	is linked to	http://purl.obolibrary.org/obo/NCIT_C3243	DDF


31069065	student_A	http://purl.obolibrary.org/obo/CHEBI_25367	chemical	influence	http://purl.obolibrary.org/obo/NCIT_C50750	DDF
31069065	student_A	http://purl.obolibrary.org/obo/NCIT_C3671	DDF	strike	http://purl.obolibrary.org/obo/NCIT_C12438	anatomical location
31069065	student_A	http://purl.obolibrary.org/obo/CHEBI_25367	chemical	influence	http://purl.obolibrary.org/obo/NCIT_C195952	DDF
31069065	student_A	http://purl.obolibrary.org/obo/NCIT_C2991	DDF	strike	http://purl.obolibrary.org/obo/NCIT_C12438	anatomical location
31069065	student_A	http://purl.obolibrary.org/obo/CHEBI_25367	chemical	influence	http://purl.obolibrary.org/obo/NCIT_C3243	DDF


28937600	student_A	http://purl.obolibrary.org/obo/NCIT_C2866	DDF	target	http://purl.obolibrary.org/obo/NCIT_C25190	human
28937600	student_A	http://purl.obolibrary.org/obo/CHEBI_15724	chemical	part of	http://purl.obolibrary.org/obo/CHEBI_15354	chemical
28937600	student_A	http://purl.obolibrary.org/obo/NCIT_C26835	DDF	target	http://purl.obolibrary.org/obo/NCIT_C25190	human
28937600	student_A	http://purl.obolibrary.org/obo/CHEBI_15724	chemical	influence	http://purl.obolibrary.org/obo/NCIT_C165593	DDF
28937600	student_A	http://purl.obolibrary.org/obo/NCIT_C12438	anatomical location	located in	http://purl.obolibrary.org/obo/NCIT_C25190	human
28937600	student_A	http://purl.obolibrary.org/obo/NCIT_C4786	DDF	target	http://purl.obolibrary.org/obo/NCIT_C25190	human
28937600	student_A	http://purl.obolibrary.org/obo/NCIT_C25190	human	used by	http://purl.obolibrary.org/obo/NCIT_C25218	biomedical technique
28937600	student_A	http://purl.obolibrary.org/obo/CHEBI_15724	chemical	part of	http://purl.obolibrary.org/obo/NCIT_C82599	chemical
28937600	student_A	http://purl.obolibrary.org/obo/CHEBI_15724	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12438	anatomical location


39213074	student_A	http://purl.obolibrary.org/obo/NCBITaxon_29465	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C29867	human	used by	http://purl.obolibrary.org/obo/NCIT_C25391	biomedical technique
39213074	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	located in	http://purl.obolibrary.org/obo/NCIT_C16268	human
39213074	student_A	http://id.nlm.nih.gov/mesh/D011549	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C116921	DDF	target	http://purl.obolibrary.org/obo/NCIT_C16268	human
39213074	student_A	http://purl.obolibrary.org/obo/NCBITaxon_572511	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C116921	DDF	target	http://purl.obolibrary.org/obo/NCIT_C61512	human
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C29867	human	used by	http://purl.obolibrary.org/obo/NCIT_C74982	biomedical technique
39213074	student_A	http://purl.obolibrary.org/obo/OMIT_0028418	microbiome	used by	http://purl.obolibrary.org/obo/NCIT_C25391	biomedical technique
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C116921	DDF	is a	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C116921	DDF	target	http://purl.obolibrary.org/obo/NCIT_C29867	human
39213074	student_A	http://purl.obolibrary.org/obo/NCBITaxon_1236	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF
39213074	student_A	http://purl.obolibrary.org/obo/NCIT_C113447	bacteria	influence	http://purl.obolibrary.org/obo/NCIT_C116921	DDF


