pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label
38860943	expert_10	0	28	abstract	Amyotrophic lateral sclerosis	DDF	is a	41	61	abstract	neuromuscular disease	DDF
38860943	expert_10	31	33	abstract	ALS	DDF	is a	41	61	abstract	neuromuscular disease	DDF
38860943	expert_10	636	678	abstract	significantly decreased intestinal mobility	DDF	target	621	630	abstract	TDP43 mice	animal
38860943	expert_10	681	702	abstract	increased permeability	DDF	target	621	630	abstract	TDP43 mice	animal
38860943	expert_10	709	723	abstract	weakened muscle	DDF	target	621	630	abstract	TDP43 mice	animal
38860943	expert_10	794	800	abstract	hmTDP43	chemical	located in	957	961	abstract	colon	anatomical location
38860943	expert_10	794	800	abstract	hmTDP43	chemical	located in	964	974	abstract	spinal cord	anatomical location
38860943	expert_10	794	800	abstract	hmTDP43	chemical	located in	981	985	abstract	brain	anatomical location
38860943	expert_10	806	836	abstract	Glial fibrillary acidic protein	chemical	located in	957	961	abstract	colon	anatomical location
38860943	expert_10	806	836	abstract	Glial fibrillary acidic protein	chemical	located in	964	974	abstract	spinal cord	anatomical location
38860943	expert_10	806	836	abstract	Glial fibrillary acidic protein	chemical	located in	981	985	abstract	brain	anatomical location
38860943	expert_10	839	842	abstract	GFAP	chemical	located in	957	961	abstract	colon	anatomical location
38860943	expert_10	839	842	abstract	GFAP	chemical	located in	964	974	abstract	spinal cord	anatomical location
38860943	expert_10	839	842	abstract	GFAP	chemical	located in	981	985	abstract	brain	anatomical location
38860943	expert_10	957	961	abstract	colon	anatomical location	located in	990	999	abstract	TDP43 mice	animal
38860943	expert_10	964	974	abstract	spinal cord	anatomical location	located in	990	999	abstract	TDP43 mice	animal
38860943	expert_10	981	985	abstract	brain	anatomical location	located in	990	999	abstract	TDP43 mice	animal
38860943	expert_10	1071	1097	abstract	butyrate-producing bacteria	bacteria	located in	1002	1011	abstract	TDP43 mice	animal
38860943	expert_10	1102	1126	abstract	Butyrivibrio fibrisolvens	bacteria	located in	1002	1011	abstract	TDP43 mice	animal
38860943	expert_10	1150	1169	abstract	Bacteroides fragilis	bacteria	located in	1002	1011	abstract	TDP43 mice	animal
38860943	expert_10	1292	1295	abstract	EGCs	anatomical location	located in	1302	1311	abstract	TDP43 mice	animal
38860943	expert_10	1335	1341	abstract	hmTDP43	chemical	located in	1292	1295	abstract	EGCs	anatomical location
38860943	expert_10	1369	1372	abstract	GFAP	chemical	located in	1292	1295	abstract	EGCs	anatomical location
38860943	expert_10	1378	1417	abstract	ionized calcium-binding adaptor molecule	chemical	located in	1292	1295	abstract	EGCs	anatomical location
38860943	expert_10	1420	1423	abstract	IBA1	chemical	located in	1292	1295	abstract	EGCs	anatomical location
38860943	expert_10	1471	1478	abstract	butyrate	chemical	administered	1447	1456	abstract	TDP43 mice	animal
38860943	expert_10	1483	1497	abstract	probiotic VSL#3	dietary supplement	administered	1447	1456	abstract	TDP43 mice	animal
38860943	expert_10	1503	1538	abstract	significantly increased rotarod time	DDF	target	1447	1456	abstract	TDP43 mice	animal
38860943	expert_10	1541	1569	abstract	increased intestinal mobility	DDF	target	1447	1456	abstract	TDP43 mice	animal
38860943	expert_10	1575	1596	abstract	decreased permeability	DDF	target	1447	1456	abstract	TDP43 mice	animal
38860943	expert_10	1632	1639	abstract	Butyrate	chemical	interact	1693	1696	abstract	GFAP	chemical
