pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label
27176462	student_A	0	13	title	Gut microbiota	microbiome	is linked to	18	51	title	early pediatric multiple sclerosis	DDF
27176462	student_A	19	53	abstract	gut microbial community composition	microbiome	is linked to	77	96	abstract	neurological disease	DDF
27176462	student_A	150	189	abstract	early onset pediatric multiple sclerosis	DDF	target	200	215	abstract	control children	human
27176462	student_A	283	284	abstract	MS	DDF	target	242	249	abstract	Children	human
27176462	student_A	1278	1296	abstract	Desulfovibrionaceae	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1299	1307	abstract	Bilophila	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1310	1322	abstract	Desulfovibrio	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1328	1346	abstract	Christensenellaceae	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1366	1380	abstract	Lachnospiraceae	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1386	1400	abstract	Ruminococcaceae	bacteria	located in	1199	1206	abstract	MS cases	human
27176462	student_A	1674	1687	abstract	gut microbiome	microbiome	is linked to	1626	1650	abstract	recent onset pediatric MS	DDF


33796919	student_A	0	31	title	Bifidobacterium Lactis Probio-M8	bacteria	part of	43	56	title	gut microbiota	microbiome
33796919	student_A	0	31	title	Bifidobacterium Lactis Probio-M8	bacteria	influence	71	89	title	Alzheimer's disease	DDF
33796919	student_A	24	42	abstract	Alzheimer's disease	DDF	change abundance	94	107	abstract	gut microbiota	microbiome
33796919	student_A	128	137	abstract	probiotics	dietary supplement	influence	160	178	abstract	Alzheimer's disease	DDF
33796919	student_A	146	155	abstract	prebiotics	dietary supplement	influence	160	178	abstract	Alzheimer's disease	DDF
33796919	student_A	462	470	abstract	Probio-M8	dietary supplement	administered	518	521	abstract	mice	animal
33796919	student_A	710	719	abstract	Aβ plaques	chemical	located in	728	732	abstract	brain	anatomical location
33796919	student_A	975	990	abstract	Aβ plaque burden	chemical	located in	1005	1009	abstract	brain	anatomical location
33796919	student_A	975	990	abstract	Aβ plaque burden	chemical	impact	1033	1056	abstract	gut microbiota dysbiosis	microbiome
33796919	student_A	1072	1080	abstract	Probio-M8	dietary supplement	influence	1098	1117	abstract	cognitive impairment	DDF


39478626	student_A	20	33	title	gut microbiota	microbiome	is linked to	50	68	title	Alzheimer's disease	DDF
39478626	student_A	21	22	abstract	AD	DDF	is a	30	63	abstract	complex neurodegenerative disorder	DDF


29065369	student_A	4	19	title	fecal microbiome	microbiome	located in	24	35	title	ALS patients	human
