pmid	annotator	start_idx	end_idx	location	text_span	label
27176462	student_A	0	13	title	Gut microbiota	microbiome
27176462	student_A	18	51	title	early pediatric multiple sclerosis	DDF
27176462	student_A	19	53	abstract	gut microbial community composition	microbiome
27176462	student_A	77	96	abstract	neurological disease	DDF
27176462	student_A	150	189	abstract	early onset pediatric multiple sclerosis	DDF
27176462	student_A	192	193	abstract	MS	DDF
27176462	student_A	200	215	abstract	control children	human
27176462	student_A	242	249	abstract	Children	human
27176462	student_A	283	284	abstract	MS	DDF
27176462	student_A	312	331	abstract	autoimmune disorders	DDF
27176462	student_A	490	517	abstract	16S ribosomal RNA sequencing	biomedical technique
27176462	student_A	523	589	abstract	phylogenetic reconstruction of unobserved states (PICRUSt) analysis	biomedical technique
27176462	student_A	645	654	abstract	microbiota	microbiome
27176462	student_A	724	743	abstract	non-parametric tests	statistical technique
27176462	student_A	746	792	abstract	permutational multivariate analysis of variance	statistical technique
27176462	student_A	798	825	abstract	negative binomial regression	statistical technique
27176462	student_A	837	864	abstract	relapsing-remitting MS cases	human
27176462	student_A	873	880	abstract	controls	human
27176462	student_A	928	932	abstract	Cases	human
27176462	student_A	1006	1026	abstract	immunomodulatory drug	drug
27176462	student_A	1029	1031	abstract	IMD	drug
27176462	student_A	1118	1126	abstract	MS status	DDF
27176462	student_A	1189	1196	abstract	controls	human
27176462	student_A	1199	1206	abstract	MS cases	human
27176462	student_A	1278	1296	abstract	Desulfovibrionaceae	bacteria
27176462	student_A	1299	1307	abstract	Bilophila	bacteria
27176462	student_A	1310	1322	abstract	Desulfovibrio	bacteria
27176462	student_A	1328	1346	abstract	Christensenellaceae	bacteria
27176462	student_A	1366	1380	abstract	Lachnospiraceae	bacteria
27176462	student_A	1386	1400	abstract	Ruminococcaceae	bacteria
27176462	student_A	1428	1442	abstract	Microbial genes	gene
27176462	student_A	1469	1470	abstract	MS	DDF
27176462	student_A	1479	1486	abstract	controls	human
27176462	student_A	1539	1550	abstract	Mann-Whitney	statistical technique
27176462	student_A	1626	1650	abstract	recent onset pediatric MS	DDF
27176462	student_A	1674	1687	abstract	gut microbiome	microbiome
27176462	student_A	1792	1808	abstract	neurodegeneration	DDF


33796919	student_A	0	31	title	Bifidobacterium Lactis Probio-M8	bacteria
33796919	student_A	43	56	title	gut microbiota	microbiome
33796919	student_A	71	89	title	Alzheimer's disease	DDF
33796919	student_A	24	42	abstract	Alzheimer's disease	DDF
33796919	student_A	94	107	abstract	gut microbiota	microbiome
33796919	student_A	128	137	abstract	probiotics	dietary supplement
33796919	student_A	146	155	abstract	prebiotics	dietary supplement
33796919	student_A	160	178	abstract	Alzheimer's disease	DDF
33796919	student_A	257	288	abstract	Bifidobacterium Lactis Probio-M8	bacteria
33796919	student_A	462	470	abstract	Probio-M8	dietary supplement
33796919	student_A	475	486	abstract	saline water	chemical
33796919	student_A	501	513	abstract	Fecal samples	chemical
33796919	student_A	518	521	abstract	mice	animal
33796919	student_A	627	640	abstract	gut microbiota	microbiome
33796919	student_A	646	684	abstract	16S ribosomal RNA sequencing technology	biomedical technique
33796919	student_A	710	719	abstract	Aβ plaques	chemical
33796919	student_A	728	732	abstract	brain	anatomical location
33796919	student_A	764	769	abstract	Y maze	biomedical technique
33796919	student_A	772	795	abstract	novel object recognition	biomedical technique
33796919	student_A	957	965	abstract	Probio-M8	dietary supplement
33796919	student_A	975	990	abstract	Aβ plaque burden	chemical
33796919	student_A	1005	1009	abstract	brain	anatomical location
33796919	student_A	1033	1056	abstract	gut microbiota dysbiosis	microbiome
33796919	student_A	1072	1080	abstract	Probio-M8	dietary supplement
33796919	student_A	1098	1117	abstract	cognitive impairment	DDF


39478626	student_A	20	33	title	gut microbiota	microbiome
39478626	student_A	50	68	title	Alzheimer's disease	DDF
39478626	student_A	130	153	title	shotgun metagenomic data	biomedical technique
39478626	student_A	0	18	abstract	Alzheimer's disease	DDF
39478626	student_A	21	22	abstract	AD	DDF
39478626	student_A	30	63	abstract	complex neurodegenerative disorder	DDF
39478626	student_A	180	193	abstract	gut microbiota	microbiome
39478626	student_A	232	262	abstract	shotgun metagenomics sequencing	biomedical technique
39478626	student_A	329	330	abstract	AD	DDF
39478626	student_A	345	357	abstract	Fecal samples	biomedical technique
39478626	student_A	380	393	abstract	wild-type mice	animal
39478626	student_A	411	413	abstract	DNA	chemical
39478626	student_A	487	497	abstract	MetaPhlAn 4	biomedical technique
39478626	student_A	515	533	abstract	microbial community	microbiome
39478626	student_A	575	599	abstract	species-level genome bins	biomedical technique
39478626	student_A	602	605	abstract	SGBs	biomedical technique
39478626	student_A	641	644	abstract	SGBs	biomedical technique
39478626	student_A	647	651	abstract	kSGBs	biomedical technique
39478626	student_A	657	661	abstract	uSGBs	biomedical technique
39478626	student_A	733	756	abstract	family-level genome bins	biomedical technique
39478626	student_A	759	762	abstract	FGBs	biomedical technique
39478626	student_A	766	788	abstract	class-level genome bins	biomedical technique
39478626	student_A	791	794	abstract	CGBs	biomedical technique
39478626	student_A	802	824	abstract	order-level genome bins	biomedical technique
39478626	student_A	827	830	abstract	OGBs	biomedical technique
39478626	student_A	924	930	abstract	AD mice	animal
39478626	student_A	1041	1044	abstract	SGBs	biomedical technique
39478626	student_A	1065	1076	abstract	Bacteroidota	bacteria
39478626	student_A	1082	1091	abstract	Firmicutes	bacteria
39478626	student_A	1142	1145	abstract	SGBs	biomedical technique
39478626	student_A	1284	1308	abstract	elusive microbial species	microbiome


29065369	student_A	4	19	title	fecal microbiome	microbiome
29065369	student_A	24	35	title	ALS patients	human
29065369	student_A	0	28	abstract	Amyotrophic lateral sclerosis	DDF
29065369	student_A	31	33	abstract	ALS	DDF
29065369	student_A	41	84	abstract	fatal neurodegenerative motor neuron disease	DDF
29065369	student_A	106	162	abstract	systemic and central nervous system-specific inflammation	DDF
29065369	student_A	175	203	abstract	deregulated energy metabolism	DDF
29065369	student_A	298	311	abstract	gut microbiota	microbiome
29065369	student_A	355	376	abstract	microbiome alterations	microbiome
29065369	student_A	382	384	abstract	ALS	DDF
29065369	student_A	443	445	abstract	ALS	DDF
29065369	student_A	496	511	abstract	fecal microbiota	microbiome
29065369	student_A	530	545	abstract	fecal microbiota	microbiome
29065369	student_A	553	564	abstract	ALS patients	human
29065369	student_A	574	612	abstract	age- and gender-matched healthy persons	human
29065369	student_A	620	652	abstract	16S rRNA gene sequencing analysis	biomedical technique
29065369	student_A	712	721	abstract	microbiome	microbiome
29065369	student_A	754	761	abstract	patients	human
29065369	student_A	771	779	abstract	dysphagia	DDF
29065369	student_A	989	1017	abstract	PICRUSt-predicted metagenomes	biomedical technique
29065369	student_A	1082	1093	abstract	ALS patients	human
29065369	student_A	1099	1114	abstract	healthy controls	human
29065369	student_A	1172	1188	abstract	microbial species	microbiome
29065369	student_A	1244	1269	abstract	uncultured Ruminococcaceae	bacteria
29065369	student_A	1286	1297	abstract	ALS patients	human
29065369	student_A	1328	1371	abstract	alteration of the gut microbiota composition	microbiome


39224586	student_A	21	34	title	gut microbiota	microbiome
39224586	student_A	40	57	title	multiple sclerosis	DDF
39224586	student_A	62	90	title	scientometric visual analysis	statistical technique
39224586	student_A	60	73	abstract	gut microbiota	microbiome
39224586	student_A	76	77	abstract	GM	microbiome
39224586	student_A	84	101	abstract	multiple sclerosis	DDF
39224586	student_A	103	104	abstract	MS	DDF
39224586	student_A	145	146	abstract	GM	microbiome
39224586	student_A	151	152	abstract	MS	DDF
39224586	student_A	183	215	abstract	systematic Scientometric analyses	statistical technique
39224586	student_A	336	357	abstract	scientometric analysis	statistical technique
39224586	student_A	431	432	abstract	GM	microbiome
39224586	student_A	438	439	abstract	MS	DDF
39224586	student_A	592	593	abstract	GM	microbiome
39224586	student_A	599	600	abstract	MS	DDF
39224586	student_A	1083	1084	abstract	GM	microbiome
39224586	student_A	1089	1090	abstract	MS	DDF
39224586	student_A	1217	1218	abstract	MS	DDF
39224586	student_A	1362	1373	abstract	inflammation	DDF
39224586	student_A	1376	1385	abstract	probiotics	dietary supplement
39224586	student_A	1394	1402	abstract	dysbiosis	DDF
39224586	student_A	1409	1418	abstract	tryptophan	chemical
39224586	student_A	1438	1454	abstract	neurodegeneration	DDF
39224586	student_A	1460	1485	abstract	neuropsychiatric disorders	DDF
39224586	student_A	1590	1591	abstract	GM	microbiome
39224586	student_A	1596	1597	abstract	MS	DDF
39224586	student_A	1707	1748	abstract	neurodegenerative and psychiatric diseases	DDF
39224586	student_A	1885	1886	abstract	GM	microbiome
39224586	student_A	1891	1892	abstract	MS	DDF


31069065	student_A	3	16	title	in vitro model	biomedical technique
31069065	student_A	31	46	title	CNS white matter	anatomical location
31069065	student_A	42	57	abstract	CNS white matter	anatomical location
31069065	student_A	81	87	abstract	disease	DDF
31069065	student_A	93	98	abstract	injury	DDF
31069065	student_A	134	138	abstract	axons	anatomical location
31069065	student_A	141	156	abstract	oligodendrocytes	anatomical location
31069065	student_A	159	168	abstract	astrocytes	anatomical location
31069065	student_A	174	182	abstract	microglia	anatomical location
31069065	student_A	245	258	abstract	gut microbiome	microbiome
31069065	student_A	268	276	abstract	endocrine	anatomical location
31069065	student_A	282	295	abstract	immune systems	anatomical location
31069065	student_A	393	413	abstract	<i>in vivo</i> models	biomedical technique
31069065	student_A	419	433	abstract	clinical trials	biomedical technique
