pmid	annotator	subject_text_span	subject_label	predicate	object_text_span	object_label
38860943	expert_10	α-SMA	chemical	located in	colon	anatomical location
38860943	expert_10	hmTDP43	chemical	located in	EGCs	anatomical location
38860943	expert_10	Bacteroides fragilis	bacteria	located in	TDP43 mice	animal
38860943	expert_10	TDP43	chemical	located in	colon	anatomical location
38860943	expert_10	probiotics	dietary supplement	change expression	ZO-1	gene
38860943	expert_10	EGCs	anatomical location	located in	TDP43 mice	animal
38860943	expert_10	probiotics	dietary supplement	impact	Butyrivibrio fibrisolvens	bacteria
38860943	expert_10	GFAP	chemical	located in	spinal cord	anatomical location
38860943	expert_10	Butyrate	chemical	change expression	ZO-1	gene
38860943	expert_10	butyrate	chemical	administered	TDP43 mice	animal
38860943	expert_10	spinal cord	anatomical location	located in	TDP43 mice	animal
38860943	expert_10	significantly increased rotarod time	DDF	target	TDP43 mice	animal
38860943	expert_10	butyrate-producing bacteria	bacteria	located in	TDP43 mice	animal
38860943	expert_10	GFAP	chemical	located in	brain	anatomical location
38860943	expert_10	hmTDP43	chemical	located in	spinal cord	anatomical location
38860943	expert_10	Glial fibrillary acidic protein	chemical	located in	colon	anatomical location
38860943	expert_10	inflammatory cytokines	chemical	located in	TDP43 mice	animal
38860943	expert_10	GFAP	chemical	located in	colon	anatomical location
38860943	expert_10	increased permeability	DDF	target	TDP43 mice	animal
38860943	expert_10	hmTDP43	chemical	located in	brain	anatomical location
38860943	expert_10	ALS	DDF	is a	neuromuscular disease	DDF
38860943	expert_10	butyrate	chemical	impact	Butyrivibrio fibrisolvens	bacteria
38860943	expert_10	Butyrate	chemical	interact	α-SMA	chemical
38860943	expert_10	probiotics	dietary supplement	change expression	Claudin-5	gene
38860943	expert_10	Butyrivibrio fibrisolvens	bacteria	located in	TDP43 mice	animal
38860943	expert_10	Glial fibrillary acidic protein	chemical	located in	spinal cord	anatomical location
38860943	expert_10	decreased permeability	DDF	target	TDP43 mice	animal
38860943	expert_10	increased intestinal mobility	DDF	target	TDP43 mice	animal
38860943	expert_10	brain	anatomical location	located in	TDP43 mice	animal
38860943	expert_10	hmTDP43	chemical	located in	colon	anatomical location
38860943	expert_10	colon	anatomical location	located in	TDP43 mice	animal
38860943	expert_10	α-SMA	chemical	located in	spinal cord	anatomical location
38860943	expert_10	probiotic VSL#3	dietary supplement	administered	TDP43 mice	animal
38860943	expert_10	Butyrate	chemical	interact	TDP43	chemical
38860943	expert_10	TDP43	chemical	located in	spinal cord	anatomical location
38860943	expert_10	significantly decreased intestinal mobility	DDF	target	TDP43 mice	animal
38860943	expert_10	Glial fibrillary acidic protein	chemical	located in	brain	anatomical location
38860943	expert_10	ionized calcium-binding adaptor molecule	chemical	located in	EGCs	anatomical location
38860943	expert_10	IBA1	chemical	located in	EGCs	anatomical location
38860943	expert_10	Butyrate	chemical	interact	GFAP	chemical
38860943	expert_10	Butyrate	chemical	change expression	Claudin-5	gene
