pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label
35017199	distant	0	13	title	Gut microbiota	microbiome	is linked to	24	54	title	Alzheimer's disease pathologies	DDF
35017199	distant	0	13	title	Gut microbiota	microbiome	is linked to	60	78	title	cognitive disorders	DDF
35017199	distant	41	53	abstract	gut dysbiosis	DDF	affect	69	80	abstract	inflammation	DDF
35017199	distant	69	80	abstract	inflammation	DDF	affect	119	137	abstract	Alzheimer's disease	DDF
35017199	distant	174	187	abstract	gut microbiota	microbiome	located in	204	212	abstract	3×Tg mice	animal
35017199	distant	174	187	abstract	gut microbiota	microbiome	located in	255	273	abstract	germ-free 3×Tg mice	animal
35017199	distant	360	361	abstract	AD	DDF	target	346	353	abstract	patients	human
35017199	distant	492	517	abstract	cerebral amyloid-β plaques	DDF	target	560	578	abstract	germ-free 3×Tg mice	animal
35017199	distant	976	1002	abstract	AD patients' gut microbiome	microbiome	is linked to	1016	1029	abstract	AD pathologies	DDF
35017199	distant	976	1002	abstract	AD patients' gut microbiome	microbiome	located in	1034	1042	abstract	3×Tg mice	animal
35017199	distant	976	1002	abstract	AD patients' gut microbiome	microbiome	is linked to	1116	1137	abstract	cognitive dysfunctions	DDF
35017199	distant	1016	1029	abstract	AD pathologies	DDF	target	1034	1042	abstract	3×Tg mice	animal
35017199	distant	1116	1137	abstract	cognitive dysfunctions	DDF	target	1034	1042	abstract	3×Tg mice	animal
35017199	distant	1223	1244	abstract	complex gut microbiome	microbiome	is linked to	1262	1280	abstract	behavioural defects	DDF
35017199	distant	1223	1244	abstract	complex gut microbiome	microbiome	is linked to	1283	1302	abstract	microglia activation	DDF
35017199	distant	1223	1244	abstract	complex gut microbiome	microbiome	is linked to	1308	1321	abstract	AD pathologies	DDF
35017199	distant	1417	1432	abstract	human microbiome	microbiome	is linked to	1400	1408	abstract	dysbiosis	DDF


37934614	distant	81	94	abstract	gut microbiome	microbiome	used by	14	49	abstract	high-throughput 'omics' technologies	biomedical technique
37934614	distant	81	94	abstract	gut microbiome	microbiome	is linked to	135	153	abstract	Alzheimer's disease	DDF
37934614	distant	81	94	abstract	gut microbiome	microbiome	is linked to	156	157	abstract	AD	DDF
37934614	distant	135	153	abstract	Alzheimer's disease	DDF	is a	163	188	abstract	neurodegenerative disorder	DDF
37934614	distant	156	157	abstract	AD	DDF	is a	163	188	abstract	neurodegenerative disorder	DDF
37934614	distant	421	434	abstract	gut microbiota	microbiome	is linked to	440	441	abstract	AD	DDF
37934614	distant	472	493	abstract	healthy gut microbiota	microbiome	is linked to	520	521	abstract	AD	DDF
37934614	distant	573	586	abstract	gut microbiota	microbiome	is linked to	643	644	abstract	AD	DDF
37934614	distant	893	906	abstract	gut microbiota	microbiome	is linked to	919	920	abstract	AD	DDF
37934614	distant	1039	1048	abstract	probiotics	dietary supplement	influence	1208	1209	abstract	AD	DDF
37934614	distant	1051	1060	abstract	prebiotics	dietary supplement	influence	1208	1209	abstract	AD	DDF
37934614	distant	1063	1072	abstract	synbiotics	dietary supplement	influence	1208	1209	abstract	AD	DDF
37934614	distant	1075	1085	abstract	postbiotics	dietary supplement	influence	1208	1209	abstract	AD	DDF


