pmid	annotator	subject_uri	subject_label	predicate	object_uri	object_label
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C80022	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12382	anatomical location
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C12439	anatomical location	located in	http://purl.obolibrary.org/obo/NCIT_C14240	animal
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C80022	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12615	anatomical location
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C16258	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12382	anatomical location
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C80022	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12439	anatomical location
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C2337	chemical	interact	http://purl.obolibrary.org/obo/NCIT_C80022	chemical
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C12382	anatomical location	located in	http://purl.obolibrary.org/obo/NCIT_C14240	animal
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C12615	anatomical location	located in	http://purl.obolibrary.org/obo/NCIT_C14240	animal
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C93144	dietary supplement	change expression	http://id.nlm.nih.gov/mesh/D062507	gene
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C2337	chemical	change expression	http://id.nlm.nih.gov/mesh/D062507	gene
38860943	expert_10	http://purl.obolibrary.org/obo/NCBITaxon_2811711	bacteria	located in	http://purl.obolibrary.org/obo/NCIT_C14240	animal
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C16258	chemical	located in	http://purl.obolibrary.org/obo/NCIT_C12439	anatomical location
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C2337	chemical	change expression	http://purl.obolibrary.org/obo/NCIT_C114824	gene
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C3367	DDF	target	http://purl.obolibrary.org/obo/NCIT_C14240	animal
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C93144	dietary supplement	change expression	http://purl.obolibrary.org/obo/NCIT_C114824	gene
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C2337	chemical	interact	http://purl.obolibrary.org/obo/NCIT_C16258	chemical
38860943	expert_10	http://purl.obolibrary.org/obo/NCIT_C2337	chemical	interact	http://purl.obolibrary.org/obo/NCIT_C20464	chemical
38860943	expert_10	http://purl.obolibrary.org/obo/NCBITaxon_817	bacteria	located in	http://purl.obolibrary.org/obo/NCIT_C14240	animal
