pmid	annotator	subject_text_span	subject_label	predicate	object_text_span	object_label
27176462	student_A	Bilophila	bacteria	located in	MS cases	human
27176462	student_A	Christensenellaceae	bacteria	located in	MS cases	human
27176462	student_A	Gut microbiota	microbiome	is linked to	early pediatric multiple sclerosis	DDF
27176462	student_A	Lachnospiraceae	bacteria	located in	MS cases	human
27176462	student_A	Ruminococcaceae	bacteria	located in	MS cases	human
27176462	student_A	gut microbiome	microbiome	is linked to	recent onset pediatric MS	DDF
27176462	student_A	Desulfovibrionaceae	bacteria	located in	MS cases	human
27176462	student_A	Desulfovibrio	bacteria	located in	MS cases	human
27176462	student_A	early onset pediatric multiple sclerosis	DDF	target	control children	human
27176462	student_A	gut microbial community composition	microbiome	is linked to	neurological disease	DDF
27176462	student_A	MS	DDF	target	Children	human


33796919	student_A	Aβ plaques	chemical	located in	brain	anatomical location
33796919	student_A	Probio-M8	dietary supplement	influence	cognitive impairment	DDF
33796919	student_A	Bifidobacterium Lactis Probio-M8	bacteria	part of	gut microbiota	microbiome
33796919	student_A	Alzheimer's disease	DDF	change abundance	gut microbiota	microbiome
33796919	student_A	Bifidobacterium Lactis Probio-M8	bacteria	influence	Alzheimer's disease	DDF
33796919	student_A	prebiotics	dietary supplement	influence	Alzheimer's disease	DDF
33796919	student_A	Probio-M8	dietary supplement	administered	mice	animal
33796919	student_A	probiotics	dietary supplement	influence	Alzheimer's disease	DDF
33796919	student_A	Aβ plaque burden	chemical	impact	gut microbiota dysbiosis	microbiome
33796919	student_A	Aβ plaque burden	chemical	located in	brain	anatomical location


39478626	student_A	AD	DDF	is a	complex neurodegenerative disorder	DDF
39478626	student_A	gut microbiota	microbiome	is linked to	Alzheimer's disease	DDF


29065369	student_A	Amyotrophic lateral sclerosis	DDF	is a	fatal neurodegenerative motor neuron disease	DDF
29065369	student_A	fecal microbiome	microbiome	located in	ALS patients	human
29065369	student_A	fecal microbiota	microbiome	located in	age- and gender-matched healthy persons	human
29065369	student_A	fecal microbiota	microbiome	located in	ALS patients	human
29065369	student_A	uncultured Ruminococcaceae	bacteria	located in	healthy controls	human
29065369	student_A	uncultured Ruminococcaceae	bacteria	located in	ALS patients	human


39224586	student_A	gut microbiota	microbiome	is linked to	multiple sclerosis	DDF


31069065	student_A	therapeutic molecules	chemical	influence	multiple sclerosis	DDF
31069065	student_A	injury	DDF	strike	CNS white matter	anatomical location
31069065	student_A	therapeutic molecules	chemical	influence	spinal cord injury	DDF
31069065	student_A	disease	DDF	strike	CNS white matter	anatomical location
31069065	student_A	therapeutic molecules	chemical	influence	motor neuron disease	DDF


28937600	student_A	TMAO	chemical	located in	human cerebrospinal fluid	anatomical location
28937600	student_A	Trimethylamine-<i>N</i>-oxide	chemical	part of	carnitine	chemical
28937600	student_A	TMAO	chemical	located in	central nervous system	anatomical location
28937600	student_A	non-AD related dementia	DDF	target	subjects	human
28937600	student_A	Alzheimer's disease	DDF	target	subjects	human
28937600	student_A	neurological disorders	DDF	target	subjects	human
28937600	student_A	subjects	human	used by	lumbar puncture	biomedical technique
28937600	student_A	CSF	anatomical location	located in	subjects	human
28937600	student_A	TMAO	chemical	located in	CSF	anatomical location
28937600	student_A	TMAO	chemical	influence	chronic diseases	DDF
28937600	student_A	TMAO	chemical	part of	dietary choline	chemical
28937600	student_A	AD	DDF	target	subjects	human
28937600	student_A	TMAO	chemical	part of	carnitine	chemical
28937600	student_A	TMAO	chemical	located in	human CSF	anatomical location
28937600	student_A	Gut Microbial Metabolite Trimethylamine-N-Oxide	chemical	located in	Human Cerebrospinal Fluid	anatomical location
28937600	student_A	Trimethylamine-<i>N</i>-oxide	chemical	part of	dietary choline	chemical


39213074	student_A	CI participants	human	used by	analysis	biomedical technique
39213074	student_A	gut microbiota	microbiome	used by	Diversity analysis	biomedical technique
39213074	student_A	Pseudomonas	bacteria	influence	CI	DDF
39213074	student_A	cognitive impairment	DDF	target	cohort	human
39213074	student_A	CI	DDF	is a	cognitive impairment	DDF
39213074	student_A	Blautia	bacteria	influence	CI	DDF
39213074	student_A	Stenotrophomonas	bacteria	influence	CI	DDF
39213074	student_A	Megamonas	bacteria	influence	CI	DDF
39213074	student_A	Gut Microbiota	microbiome	located in	Older Chinese Adults	human
39213074	student_A	Cognitive Impairment	DDF	target	Older Chinese Adults	human
39213074	student_A	Veillonella	bacteria	influence	CI	DDF
39213074	student_A	cognitive impairment	DDF	target	older Chinese adults	human
39213074	student_A	NCI participants	human	used by	analysis	biomedical technique
39213074	student_A	beneficial gut microbiota	microbiome	located in	older Chinese adults	human
39213074	student_A	cognitive impairment	DDF	target	older adults	human
39213074	student_A	gut microbiota	microbiome	used by	network analysis	biomedical technique
39213074	student_A	cognitive impairment	DDF	target	Participants	human
39213074	student_A	CI	DDF	target	Participants	human
39213074	student_A	Participants	human	used by	Mini-Mental State Examination	biomedical technique


37711026	student_A	Parkinson's disease	DDF	target	elderly population	human
37711026	student_A	PD	DDF	target	elderly population	human
37711026	student_A	gut microbiome	microbiome	located in	early-stage Parkinson's disease patients	human
37711026	student_A	gut microbiome	microbiome	located in	PD patients	human
37711026	student_A	Bifidobacterium	bacteria	located in	PD patients	human
37711026	student_A	Faecalibacterium	bacteria	located in	controls	human
37711026	student_A	Lactobacillus	bacteria	located in	PD patients	human
37711026	student_A	Prevotella VZCB	bacteria	located in	controls	human
37711026	student_A	PD	DDF	is a	Parkinson's disease	DDF
37711026	student_A	PD	DDF	change abundance	gut microbiome composition	microbiome
37711026	student_A	PD patient	human	used by	chi-square test	biomedical technique
37711026	student_A	control groups	human	used by	chi-square test	biomedical technique
37711026	student_A	gut microbiome	microbiome	located in	controls	human


34864433	student_A	KD	food	administered	people	human
34864433	student_A	ALS	DDF	is a	amyotrophic lateral sclerosis	DDF
34864433	student_A	normocaloric ketogenic diet	food	influence	neuroinflammation	DDF
34864433	student_A	KD	food	administered	participants	human
34864433	student_A	normocaloric ketogenic diet	food	administered	people	human
34864433	student_A	amyotrophic lateral sclerosis	DDF	target	people	human
34864433	student_A	ALS	DDF	target	people	human
34864433	student_A	KD	food	influence	neuroinflammation	DDF
34864433	student_A	ALS	DDF	target	men	human
34864433	student_A	ALS	DDF	target	women	human
34864433	student_A	death	DDF	target	participants	human


39183943	student_A	dysbiotic gut microbiome	microbiome	is linked to	multiple sclerosis	DDF
39183943	student_A	bacteria	bacteria	influence	MS	DDF
39183943	student_A	microbiome	microbiome	used by	fecal microbiota transplant therapy	biomedical technique
39183943	student_A	MS	DDF	is a	multiple sclerosis	DDF
39183943	student_A	multiple sclerosis	DDF	is a	neurodegenerative disease	DDF
39183943	student_A	MS	DDF	is a	neurodegenerative disease	DDF
39183943	student_A	bacteria	bacteria	influence	disease	DDF
39183943	student_A	multiple sclerosis	DDF	target	patients	human
39183943	student_A	microbiome	microbiome	located in	healthy individual	human
39183943	student_A	dysbiotic gut microbiome	microbiome	is linked to	MS	DDF
39183943	student_A	bacteria	bacteria	located in	individual	human
39183943	student_A	dysbiotic gut microbiome	microbiome	is linked to	neurodegenerative disease	DDF
39183943	student_A	gut microbiome	microbiome	is linked to	disease	DDF
39183943	student_A	dysbiosis	DDF	is a	Alterations of the microbiome	DDF


29758946	student_A	Alzheimer's disease	DDF	target	patients	human
29758946	student_A	AD	DDF	is a	Alzheimer's disease	DDF
29758946	student_A	amyotrophic lateral sclerosis	DDF	is a	neuropsychiatric disorders	DDF
29758946	student_A	Actinobacteria	bacteria	located in	AD patients	human
29758946	student_A	Gut Microbiota	microbiome	located in	Patients	human
29758946	student_A	Lachnospiraceae	bacteria	located in	AD patients	human
29758946	student_A	gut microbiota	microbiome	located in	AD patients	human
29758946	student_A	Ruminococcus	bacteria	located in	AD patients	human
29758946	student_A	Selenomonadales	bacteria	located in	AD patients	human
29758946	student_A	depression	DDF	is a	neuropsychiatric disorders	DDF
29758946	student_A	Parkinson's disease	DDF	is a	neuropsychiatric disorders	DDF
29758946	student_A	gut microbiota	microbiome	is linked to	AD	DDF
29758946	student_A	Bacteroides	bacteria	located in	AD patients	human
29758946	student_A	Alzheimer's Disease	DDF	target	Patients	human
29758946	student_A	gut microbiota	microbiome	located in	patients	human


38827616	student_A	BD	DDF	is a	bipolar disorder	DDF
38827616	student_A	MDD	DDF	is a	major depressive disorder	DDF
38827616	student_A	PTSD	DDF	is a	posttraumatic stress disorder	DDF
38827616	student_A	ADHD	DDF	is a	attention-deficit hyperactivity disorder	DDF
38827616	student_A	AN	DDF	is a	anorexia nervosa	DDF
38827616	student_A	OCD	DDF	is a	obsessive-compulsive disorder	DDF
38827616	student_A	SCZ	DDF	is a	schizophrenia	DDF
38827616	student_A	TS	DDF	is a	tourette syndrome	DDF
38827616	student_A	PD	DDF	is a	panic disorder	DDF
38827616	student_A	ASD	DDF	is a	autism spectrum disorder	DDF


39027090	student_A	MIA exposure	DDF	affect	auto-immune conditions	DDF
39027090	student_A	MIA	DDF	affect	ASD	DDF
39027090	student_A	MatS	DDF	affect	schizophrenia	DDF
39027090	student_A	schizophrenia	DDF	is a	psychiatric conditions	DDF
39027090	student_A	MatS	DDF	affect	autism	DDF
39027090	student_A	MIA	DDF	affect	psychiatric conditions	DDF
39027090	student_A	MIA exposure	DDF	affect	asthma/allergies	DDF
39027090	student_A	autism	DDF	is a	psychiatric conditions	DDF
39027090	student_A	Maternal immune activation	DDF	affect	psychiatric conditions	DDF
39027090	student_A	maternal stress	DDF	target	mothers	human
39027090	student_A	MatS	DDF	is a	prenatal maternal stress	DDF
39027090	student_A	autism	DDF	target	children	human
39027090	student_A	prenatal maternal stress	DDF	affect	schizophrenia	DDF
39027090	student_A	MatS	DDF	affect	psychiatric conditions	DDF
39027090	student_A	prenatal maternal stress	DDF	affect	autism	DDF
39027090	student_A	MIA	DDF	affect	schizophrenia	DDF
39027090	student_A	children	human	used by	shotgun metagenomics	biomedical technique
39027090	student_A	Maternal immune activation	DDF	affect	schizophrenia	DDF
39027090	student_A	MIA	DDF	affect	autism	DDF
39027090	student_A	MIA	DDF	target	mothers	human
39027090	student_A	Faecalibacterium prausnitzii E	bacteria	located in	MIA children	human
39027090	student_A	Maternal immune activation	DDF	affect	autism	DDF
39027090	student_A	MIA exposure	DDF	affect	acute inflammation	DDF
39027090	student_A	MIA	DDF	is a	Maternal immune activation	DDF
39027090	student_A	prenatal maternal stress	DDF	affect	psychiatric conditions	DDF


